Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170G,"Install cat-ladder, access platform  at U2",TT_Task,,"Finishing Works",06-Jun-2016,11-Jun-2016,5,06-Jun-2016,11-Jun-2016,5,0,0,0.00,31-May-2017,31-May-2017,09-Nov-2013,09-Nov-2013,2,1
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170N,"Construct Stair well roof for ST?4, including Metal Door (EI/141)",TT_Task,,"Finishing Works",27-Jul-2016,01-Sep-2016,36,01-Mar-2016,30-Nov-2016,274,-148,238,661.11,31-May-2017,31-May-2017,30-Nov-2013,30-Nov-2013,1,3
822_AB_W11v4Dr1,822-SM-VB5-FW-1190,"Additional works in VB5 Transformer Room A&B (EI/138)",TT_Task,,"Finishing Works",15-Feb-2016,15-Apr-2016,60,15-Feb-2016,15-Apr-2016,60,0,0,0.00,31-May-2017,31-May-2017,09-Nov-2013,09-Nov-2013,0,2
822_AB_W11v4Dr1,822-SM-VB5-FW-1200,"Additional RC slab at Transformer Room B (EI/151)",TT_Task,,"Finishing Works",18-Apr-2016,30-Apr-2016,12,18-Apr-2016,30-Apr-2016,12,0,0,0.00,31-May-2017,31-May-2017,09-Nov-2013,09-Nov-2013,1,1
822_AB_W11v4Dr1,822-SM-VB5-FW-1210,"Modifications to Cable Drawpits (EI/150)",TT_Task,,"Finishing Works",01-Feb-2016,30-Apr-2016,89,01-Feb-2016,30-Apr-2016,89,0,0,0.00,31-May-2017,31-May-2017,30-Nov-2013,30-Nov-2013,1,1
822_AB_W11v4Dr1,822-SM-VB5-FW-1220,"Additional Lifting Eyes (EI/149)",TT_Task,,"Finishing Works",28-Apr-2016,30-May-2016,32,28-Apr-2016,30-May-2016,32,0,0,0.00,31-May-2017,31-May-2017,09-Nov-2013,09-Nov-2013,1,1
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170O,"Install door leaf",TT_Task,,"Finishing Works",04-Jul-2016,16-Jul-2016,12,05-Sep-2016,30-Dec-2016,116,63,104,866.67,31-May-2017,31-May-2017,30-Nov-2013,30-Nov-2013,2,3
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170P,"Signage Installation",TT_Task,,"Finishing Works",04-Apr-2017,17-Apr-2017,13,20-Mar-2017,01-May-2017,42,-15,29,223.08,31-May-2017,31-May-2017,30-Nov-2013,30-Nov-2013,4,2
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170R,"Install cat ladder arresting system",TT_Task,,"Finishing Works",14-Oct-2016,27-Oct-2016,13,16-Nov-2016,30-Nov-2016,14,33,1,7.69,31-May-2017,31-May-2017,09-Nov-2013,09-Nov-2013,2,2
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170S,"G/F ABWF for Corridors",TT_Task,,"Finishing Works",22-Mar-2017,04-Apr-2017,13,24-Feb-2017,25-Feb-2017,1,-26,-12,-92.31,31-May-2017,31-May-2017,02-Jan-2018,02-Jan-2018,4,2
822_AB_W11v4Dr1,822-SM-V5-FW-M-1170T,"G/F install fire rated ceiling",TT_Task,,"Finishing Works",05-Apr-2017,18-Apr-2017,13,27-Feb-2017,25-Mar-2017,26,-37,13,100.00,31-May-2017,31-May-2017,02-Jan-2018,02-Jan-2018,2,1
822_AB_W11v4Dr1,822-SM-VB5-FW-1300,"Stone Work at Planter",TT_Task,,"Finishing Works",01-May-2017,16-May-2017,15,01-May-2017,16-May-2017,15,0,0,0.00,31-May-2017,31-May-2017,28-Sep-2017,28-Sep-2017,1,2
822_AB_W11v4Dr1,822-SM-VB5-FW-1310,"Chain link Fence and access gate at buttress wall",TT_Task,,"Finishing Works",17-May-2017,31-May-2017,14,17-May-2017,31-May-2017,14,0,0,0.00,31-May-2017,31-May-2017,28-Sep-2017,28-Sep-2017,1,1
822_AB_W11v4Dr1,822-SM-VB5-FW-1320,"Rectify Defects (Wall painting, anchor bolts)",TT_Task,,"Finishing Works",01-May-2017,17-Jun-2017,47,01-May-2017,,,0,,,31-May-2017,17-Jun-2017,11-Sep-2017,28-Sep-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1110,"Remove temporary light, cable, distribution board",TT_Task,,"Main Tunnel Clean Out",18-Jul-2016,17-Sep-2016,61,18-Jul-2016,29-Oct-2016,103,0,42,68.85,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1120,"Remove temporary water pipeline",TT_Task,,"Main Tunnel Clean Out",04-Jul-2016,20-Aug-2016,47,13-Jun-2016,30-Sep-2016,109,-21,62,131.91,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,0,3
822_AB_W11v4Dr1,822-MT-CS-C-MP-1130,"Remove 2G network cable",TT_Task,,"Main Tunnel Clean Out",11-Oct-2016,31-Oct-2016,20,05-Sep-2016,30-Sep-2016,25,-36,5,25.00,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,3,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1140,"Repair water leakage at CH 130+000  (-Superseded-)",TT_Task,,"Main Tunnel Clean Out",31-May-2017,20-Jun-2017,20,,,,0,,,31-May-2017,20-Jun-2017,09-Dec-2017,30-Dec-2017,0,0
822_AB_W11v4Dr1,822-MT-CS-C-MP-1150,"Remedial works to fill gap at dividing wall",TT_Task,,"Main Tunnel Clean Out",15-Aug-2016,03-Sep-2016,19,15-Aug-2016,30-Aug-2016,15,0,-4,-21.05,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1160,"Remove substation (2nos) inside tunnel",TT_Task,,"Main Tunnel Clean Out",31-Oct-2016,05-Nov-2016,5,29-Sep-2016,05-Nov-2016,37,-32,32,640.00,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,1,2
822_AB_W11v4Dr1,822-SE-823-MP-1010,"Remove twin G.I piles inside 823A & 823B area",TT_Task,,"Main Tunnel Clean Out",04-Jul-2016,24-Sep-2016,82,04-Jul-2016,,,0,,,19-Jun-2017,15-Jul-2017,02-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1170,"Repair Water leakage at OHVD",TT_Task,,"Main Tunnel Clean Out",15-Aug-2016,20-Aug-2016,5,15-Aug-2016,23-Sep-2016,39,0,34,680.00,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,2,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1180,"Repair Water leakage at Main Tunnel",TT_Task,,"Main Tunnel Clean Out",15-Aug-2016,14-Sep-2016,30,04-Aug-2016,23-Sep-2016,50,-11,20,66.67,31-May-2017,31-May-2017,29-Nov-2017,29-Nov-2017,3,2
822_AB_W11v4Dr1,822-MT-CS-C-MP-1190,"Remove temporary water pipeline inside the main tunnel  (-Superseded-)",TT_Task,,"Main Tunnel Clean Out",13-Jun-2016,30-Jul-2016,47,13-Jun-2016,,,0,,,31-May-2017,03-Jun-2017,27-Dec-2017,30-Dec-2017,0,0
822_AB_W11v4Dr1,822-MT-CS-C-MP-1200,"Remedial work to fill gaps at dividing wall (completed)",TT_Task,,"Main Tunnel Clean Out",15-Jun-2016,04-Jul-2016,19,15-Jun-2016,04-Jul-2016,19,0,0,0.00,31-May-2017,31-May-2017,02-Dec-2017,02-Dec-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1220,"Steel plate cover up the drain duct in the pit at EAP",TT_Task,,"Main Tunnel Clean Out",10-Oct-2016,25-Oct-2016,15,15-Nov-2016,30-Nov-2016,15,36,0,0.00,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1230,"Lifting eye / Hatch works at PH OHVD and EAP (3 nos.)",TT_Task,,"Main Tunnel Clean Out",15-Aug-2016,20-Aug-2016,5,06-Aug-2016,08-Oct-2016,63,-9,58,1160.00,31-May-2017,31-May-2017,01-Mar-2014,01-Mar-2014,1,1
822_AB_W11v4Dr1,822-MT-CS-C-MP-1240,"Remove 823 Power cable  (-Superseded-)",TT_Task,,"Main Tunnel Clean Out",01-Jul-2016,28-Sep-2016,89,01-Jul-2016,,,0,,,31-May-2017,02-Aug-2017,27-Oct-2017,30-Dec-2017,0,0
822_AB_W11v4Dr1,822-MT-CS-C-MP-1250,"Fix tunel duct defects and remove cables (LCAL)  (-Superseded-)",TT_Task,,"Main Tunnel Clean Out",25-Jul-2016,20-Aug-2016,26,25-Jul-2016,,,0,,,31-May-2017,24-Jun-2017,05-Dec-2017,30-Dec-2017,0,0
822_AB_W11v4Dr1,822-MT-CS-C-1050,"Mobilize to site (start date specified by Engineer)",TT_Task,,"Closure of Lining after DC Works",31-Oct-2015,06-Nov-2015,6,01-Nov-2015,06-Nov-2015,5,1,-1,-16.67,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,0,1
822_AB_W11v4Dr1,822-MT-CS-C-1060,"Close external wall lining at Access Adit (leaving 2mx2m opening)",TT_Task,,"Closure of Lining after DC Works",03-Nov-2015,16-Nov-2015,13,03-Nov-2015,16-Nov-2015,13,0,0,0.00,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,1,2
822_AB_W11v4Dr1,822-MT-CS-C-1070,"Complete Remaining side access walkway",TT_Task,,"Closure of Lining after DC Works",17-Nov-2015,20-Nov-2015,3,17-Nov-2015,20-Nov-2015,3,0,0,0.00,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,1,1
822_AB_W11v4Dr1,822-MT-CS-C-1080,"Clear site",TT_Task,,"Closure of Lining after DC Works",19-Nov-2015,23-Nov-2015,4,19-Nov-2015,23-Nov-2015,4,0,0,0.00,31-May-2017,31-May-2017,30-Dec-2017,30-Dec-2017,1,2
822_AB_W11v4Dr1,822-MT-CS-C-1090,"Waterproofing",TT_Task,,"Closure of Lining after DC Works",01-Feb-2016,01-Feb-2016,0,17-Nov-2015,22-Dec-2015,35,-76,,,31-May-2017,31-May-2017,02-Jan-2018,02-Jan-2018,1,1
822_AB_W11v4Dr1,822-PH-VAA-FW-1000,"PHVAA Degree 2 (4G) works by others (assumed period)",TT_Task,,"PHVAA Finishing Works",01-Oct-2015,03-Jun-2016,246,01-Jun-2015,07-Jan-2017,586,-122,340,138.21,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,0,3
822_AB_W11v4Dr1,822-PH-VAA-FW-1010,"PHVAA Degree 3 (4G) works by others (assumed period)",TT_Task,,"PHVAA Finishing Works",02-Mar-2016,08-Mar-2016,6,01-Dec-2015,31-Mar-2017,486,-92,480,8000.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,1,3
822_AB_W11v4Dr1,822-PH-VAA-FW-1040,"PHVAA Finishings after DC",TT_Task,,"PHVAA Finishing Works",15-Mar-2017,11-Apr-2017,27,16-Feb-2017,31-Mar-2017,43,-27,16,59.26,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,2,3
822_AB_W11v4Dr1,822-PH-VAA-FW-1020,"PHVAA Degree 2 (4H) works by others (assumed period)",TT_Task,,"PHVAA Finishing Works",15-Jun-2015,11-Jul-2015,26,02-May-2015,07-Jan-2017,616,-44,590,2269.23,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,0,3
822_AB_W11v4Dr1,822-PH-VAA-FW-1030,"PHVAA Degree 3 (4H) works by others (assumed period)",TT_Task,,"PHVAA Finishing Works",02-Mar-2016,30-Mar-2016,28,01-Dec-2015,31-Mar-2017,486,-92,458,1635.71,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,1,2
822_AB_W11v4Dr1,822-PH-VAA-FW-1050,"Undertake tests and pass Statutory Inspections (outstanding Works)",TT_Task,,"PHVAA Finishing Works",28-Feb-2017,22-May-2017,83,23-Mar-2017,,,23,,,31-May-2017,05-Jun-2017,23-Dec-2017,30-Dec-2017,2,1
822_AB_W11v4Dr1,822-PH-VAA-FW-1040A,"Seal up temporary wall opening at PHVAA and underpass",TT_Task,,"PHVAA Finishing Works",01-Jul-2016,12-Aug-2016,42,01-Jul-2016,31-Mar-2017,273,0,231,550.00,31-May-2017,31-May-2017,05-Apr-2014,05-Apr-2014,4,2
