Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
823A_As-built,823A-MS-H11-1010,"Complete all tree planting and reinstate Works Area 4.12C",TT_FinMile,,"Milestone H11",28-Feb-2017,28-Feb-2017,0,,,,0,,,28-Feb-2017,28-Feb-2017,11-Jan-2015,11-Jan-2015,1,0
823A_As-built,823A-MS-H6-1010,"Complete 60% of the cut and cover tunnels",TT_FinMile,,"Milestone H6",09-Aug-2013,09-Aug-2013,0,31-May-2013,31-May-2013,,-70,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-H8-1010,"Complete the remaining down track cut and cover tunnel to Degree 1",TT_FinMile,,"Milestone H8",31-Jan-2015,31-Jan-2015,0,28-Feb-2015,28-Feb-2015,,28,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,2,0
823A_As-built,823A-MS-H1-1010,"Removal of contamination",TT_FinMile,,"Milestone H1",16-Apr-2011,16-Apr-2011,0,16-Apr-2011,16-Apr-2011,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-H4-1010,"Complete excavation for the launching shaft",TT_FinMile,,"Milestone H4",17-Oct-2012,17-Oct-2012,0,17-Oct-2012,17-Oct-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-H2-1010,"Complete diaphragm wall construction for the launching shaft",TT_FinMile,,"Milestone H2",15-Mar-2012,15-Mar-2012,0,15-Mar-2012,15-Mar-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-H5-1010,"Complete 30% of the cut and cover tunnels",TT_FinMile,,"Milestone H5",31-May-2013,31-May-2013,0,21-Jan-2013,21-Jan-2013,,-130,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-H9-1010,"Complete the remaining up track cut and cover tunnel and the shunt neck to Degree 1",TT_FinMile,,"Milestone H9",13-Jan-2016,13-Jan-2016,0,22-Dec-2015,22-Dec-2015,,-22,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,3,0
823A_As-built,823A-MS-G4-1010,"Complete tunnel invert, walkway and installation of cable brackets supplied by Contract 846",TT_FinMile,,"Milestone G4",31-Oct-2014,31-Oct-2014,0,31-Oct-2014,31-Oct-2014,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-G1-1010,"Complete 50% of approved pre-cast segments manufacturing",TT_FinMile,,"Milestone G1",30-Aug-2012,30-Aug-2012,0,30-Aug-2012,30-Aug-2012,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-G3-1010,"Complete 100% of tunnel drive",TT_FinMile,,"Milestone G3",22-May-2014,22-May-2014,0,20-May-2014,20-May-2014,,-2,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-G2-1010,"Complete 100% of approved pre-cast segments manufacturing",TT_FinMile,,"Milestone G2",29-Sep-2012,29-Sep-2012,0,30-Sep-2012,30-Sep-2012,,1,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-TAODC-10,"Access opening for the up track cut and cover tunnel at Tse Uk Tsuen Shaft",TT_Task,,"Temporary Access Opening for Designated Contractors",02-Feb-2016,09-Mar-2016,36,02-Feb-2016,10-Feb-2016,8,0,-28,-77.78,01-Jan-2017,01-Jan-2017,15-Apr-2017,15-Apr-2017,1,1
823A_As-built,823A-HO1-WA4-1170,"Works Area 4.10A",TT_FinMile,,"First Return Dates",01-Jun-2016,01-Jun-2016,0,01-Jun-2016,01-Jun-2016,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-HO1-WA1-1020,"Works Area 1.15B",TT_FinMile,,"First Return Dates",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,16-Mar-2015,16-Mar-2015,0,0
823A_As-built,823A-HO1-WA3-1070,"Works Area 3.3B",TT_FinMile,,"First Return Dates",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,10-May-2015,10-May-2015,0,0
