ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1,55902,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",5121,"HK1003-Rev.0E-3",WBS,"26010",,,,,Active,01/08/2020,01/08/2020,31/12/2025,,,,,,0,0,282,,0,0,65,,,,""
1-1,SI---1P2A559,"DESIGN PHASE PIPING & SUPPORTS ON RACK LOT3",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,06/08/2021,06/08/2021,02/09/2021,02/09/2021,"SI---1P2A558 FS,SI---1P2A554 FS,SI---1P2A553 FS,SI---1P2A552 FS,SI---1P2A551 FS,SI---1P2A550 FS","SI---1P2A558,SI---1P2A554,SI---1P2A553,SI---1P2A552,SI---1P2A551,SI---1P2A550","SI---1P2A556 FS,SI---1P2A555 FS","SI---1P2A556,SI---1P2A555",52,52,56,56,12,12,13,13,25,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2,SI---1P2A558,"DESIGN PHASE PIPING & SUPPORTS ON RACK LOT2",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,09/07/2021,09/07/2021,05/08/2021,05/08/2021,"SI---1P2A557 FS,SI---1P2A548 FS,SI---1P2A547 FS,SI---1P2A546 FS,SI---1P2A545 FS,SI---1P2A544 FS","SI---1P2A557,SI---1P2A548,SI---1P2A547,SI---1P2A546,SI---1P2A545,SI---1P2A544","SI---1P2A559 FS,SI---1P2A523 FS,SI---1P2A549 FS","SI---1P2A559,SI---1P2A523,SI---1P2A549",48,48,52,52,11,11,12,12,21,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-3,SI---1P2A557,"DESIGN PHASE PIPING & SUPPORTS ON RACK LOT1",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,11/06/2021,11/06/2021,08/07/2021,08/07/2021,"SI---1P2A542 FS,SI---1P2A541 FS,SI---1P2A540 FS,SI---1P2A539 FS,SI---1P2A538 FS","SI---1P2A542,SI---1P2A541,SI---1P2A540,SI---1P2A539,SI---1P2A538","SI---1P2A558 FS,SI---1P2A525 FS,SI---1P2A543 FS","SI---1P2A558,SI---1P2A525,SI---1P2A543",44,44,48,48,10,10,11,11,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-4,SI---1P2A556,"FABRICATION ISOMETRICS ON RACK LOT3",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,93,TK_Active,03/09/2021,03/09/2021,01/10/2021,,"SI---1P2A559 FS","SI---1P2A559","SI20---3B51 FS","SI20---3B51",56,56,60,,13,13,14,,28,1264,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-5,SI---1P2A555,"PIPE SUPPORTS DOCUMENTATION ON RACK LOT3",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,93,TK_Active,03/09/2021,03/09/2021,01/10/2021,,"SI---1P2A559 FS","SI---1P2A559","SI20---3B51 FS","SI20---3B51",56,56,60,,13,13,14,,28,1264,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-6,SI---1P2A554,"(M2) LOT3-GR.5(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,10/06/2021,10/06/2021,10/06/2021,10/06/2021,"SI---1P2A553 FS","SI---1P2A553","SI---1P2A559 FS","SI---1P2A559",44,44,44,44,10,10,10,10,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-7,SI---1P2A553,"(M2) LOT3-GR.4(GHD,GKB,GMx,QFB,SCB,SGA,MAA/B/C)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,03/06/2021,03/06/2021,03/06/2021,03/06/2021,"SI---1P2A552 FS","SI---1P2A552","SI---1P2A554 FS,SI---1P2A559 FS","SI---1P2A554,SI---1P2A559",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-8,SI---1P2A552,"(M2) LOT3-GR.3(MAJ,MAN,MAV,LCW,MAX,LCE,GHC,HSJ)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,20/05/2021,20/05/2021,20/05/2021,20/05/2021,"SI---1P2A551 FS","SI---1P2A551","SI---1P2A553 FS,SI---1P2A559 FS","SI---1P2A553,SI---1P2A559",41,41,41,41,9,9,9,9,13,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-9,SI---1P2A551,"(M2) LOT3-GR.2(EKT,EKG,LCA10,LCA30,LCL,LDK10,MAG,MAG50,MAW,MAM,MAL)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,06/05/2021,06/05/2021,06/05/2021,06/05/2021,"SI---1P2A550 FS","SI---1P2A550","SI---1P2A552 FS,SI---1P2A559 FS","SI---1P2A552,SI---1P2A559",39,39,39,39,9,9,9,9,11,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-10,SI---1P2A550,"(M2) LOT3-GR.1(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,22/04/2021,22/04/2021,22/04/2021,22/04/2021,"SI---1P2A544 FS","SI---1P2A544","SI---1P2A551 FS,SI---1P2A559 FS","SI---1P2A551,SI---1P2A559",37,37,37,37,8,8,8,8,9,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-11,SI---1P2A549,"FABRICATION ISOMETRICS ON RACK LOT2",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,06/08/2021,06/08/2021,01/09/2021,01/09/2021,"SI---1P2A558 FS","SI---1P2A558","SI20---3B44 FS","SI20---3B44",52,52,56,56,12,12,13,13,25,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-12,SI---1P2A548,"(M2) LOT2-GR.5(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,10/06/2021,10/06/2021,10/06/2021,10/06/2021,"SI---1P2A547 FS","SI---1P2A547","SI---1P2A558 FS","SI---1P2A558",44,44,44,44,10,10,10,10,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-13,SI---1P2A547,"(M2) LOT2-GR.4(GHD,GKB,GMx,QFB,SCB,SGA,MAA/B/C)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,03/06/2021,03/06/2021,03/06/2021,03/06/2021,"SI---1P2A546 FS","SI---1P2A546","SI---1P2A548 FS,SI---1P2A558 FS","SI---1P2A548,SI---1P2A558",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-14,SI---1P2A546,"(M2) LOT2-GR.3(MAJ,MAN,MAV,LCW,MAX,LCE,GHC,HSJ)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,20/05/2021,20/05/2021,20/05/2021,20/05/2021,"SI---1P2A545 FS","SI---1P2A545","SI---1P2A547 FS,SI---1P2A558 FS","SI---1P2A547,SI---1P2A558",41,41,41,41,9,9,9,9,13,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-15,SI---1P2A545,"(M2) LOT2-GR.2(EKT,EKG,LCA10,LCA30,LCL,LDK10,MAG,MAG50,MAW,MAM,MAL)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,06/05/2021,06/05/2021,06/05/2021,06/05/2021,"SI---1P2A544 FS","SI---1P2A544","SI---1P2A546 FS,SI---1P2A558 FS","SI---1P2A546,SI---1P2A558",39,39,39,39,9,9,9,9,11,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-16,SI---1P2A544,"(M2) LOT2-GR.1(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,22/04/2021,22/04/2021,22/04/2021,22/04/2021,"SI---1P2A538 FS","SI---1P2A538","SI---1P2A550 FS,SI---1P2A545 FS,SI---1P2A558 FS","SI---1P2A550,SI---1P2A545,SI---1P2A558",37,37,37,37,8,8,8,8,9,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-17,SI---1P2A543,"FABRICATION ISOMETRICS ON RACK LOT1",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,09/07/2021,09/07/2021,01/08/2021,01/08/2021,"SI---1P2A557 FS","SI---1P2A557","SI20-1P340 FS","SI20-1P340",48,48,52,52,11,11,12,12,21,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-18,SI---1P2A542,"(M2) LOT1-GR.5(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,10/06/2021,10/06/2021,10/06/2021,10/06/2021,"SI---1P2A541 FS","SI---1P2A541","SI---1P2A557 FS","SI---1P2A557",44,44,44,44,10,10,10,10,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-19,SI---1P2A541,"(M2) LOT1-GR.4(GHD,GKB,GMx,QFB,SCB,SGA,MAA/B/C)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,03/06/2021,03/06/2021,03/06/2021,03/06/2021,"SI---1P2A540 FS","SI---1P2A540","SI---1P2A542 FS,SI---1P2A557 FS","SI---1P2A542,SI---1P2A557",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-20,SI---1P2A540,"(M2) LOT1-GR.3(MAJ,MAN,MAV,LCW,MAX,LCE,GHC,HSJ)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,20/05/2021,20/05/2021,20/05/2021,20/05/2021,"SI---1P2A539 FS","SI---1P2A539","SI---1P2A541 FS,SI---1P2A557 FS","SI---1P2A541,SI---1P2A557",41,41,41,41,9,9,9,9,13,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-21,SI---1P2A539,"(M2) LOT1-GR.2(EKT,EKG,LCA10,LCA30,LCL,LDK10,MAG,MAG50,MAW,MAM,MAL)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,06/05/2021,06/05/2021,06/05/2021,06/05/2021,"SI---1P2A538 FS","SI---1P2A538","SI---1P2A540 FS,SI---1P2A557 FS","SI---1P2A540,SI---1P2A557",39,39,39,39,9,9,9,9,11,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-22,SI---1P2A538,"(M2) LOT1-GR.1(LAB,LBX,PAB10,PAB20)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,22/04/2021,22/04/2021,22/04/2021,22/04/2021,"SI---1P2A536 FS","SI---1P2A536","SI---1P2A544 FS,SI---1P2A539 FS,SI---1P2A557 FS","SI---1P2A544,SI---1P2A539,SI---1P2A557",37,37,37,37,8,8,8,8,9,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-23,SI---1P2A537,"(M2) LOT7-GR.4(GHD,GKB,GMx,QFB,SCB,SGA,MAA/B/C)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,03/06/2021,03/06/2021,03/06/2021,03/06/2021,"SI---1P2A536 FS","SI---1P2A536","SI---1P2A515 FS","SI---1P2A515",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-24,SI---1P2A536,"(M2) LOT7-GR.1(LAB,LBX,PAB10,PAB20)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,22/04/2021,22/04/2021,22/04/2021,22/04/2021,"SI---1P2A531 FS","SI---1P2A531","SI---1P2A538 FS,SI---1P2A537 FS,SI---1P2A515 FS","SI---1P2A538,SI---1P2A537,SI---1P2A515",37,37,37,37,8,8,8,8,9,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-25,SI---1P2A535,"(M2) LOT6-GR.5(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,10/06/2021,10/06/2021,10/06/2021,10/06/2021,"SI---1P2A534 FS","SI---1P2A534","SI---1P2A526 FS","SI---1P2A526",44,44,44,44,10,10,10,10,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-26,SI---1P2A534,"(M2) LOT6-GR.4(GHD,GKB,GMx,QFB,SCB,SGA,MAA/B/C)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,03/06/2021,03/06/2021,03/06/2021,03/06/2021,"SI---1P2A533 FS","SI---1P2A533","SI---1P2A535 FS,SI---1P2A526 FS","SI---1P2A535,SI---1P2A526",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-27,SI---1P2A533,"(M2) LOT6-GR.3(MAJ,MAN,MAV,LCW,MAX,LCE,GHC,HSJ)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,20/05/2021,20/05/2021,20/05/2021,20/05/2021,"SI---1P2A532 FS","SI---1P2A532","SI---1P2A534 FS,SI---1P2A526 FS","SI---1P2A534,SI---1P2A526",41,41,41,41,9,9,9,9,13,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-28,SI---1P2A532,"(M2) LOT6-GR.2(EKT,EKG,LCA10,LCA30,LCL,LDK10,MAG,MAG50,MAW,MAM,MAL)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,06/05/2021,06/05/2021,06/05/2021,06/05/2021,"SI---1P2A531 FS","SI---1P2A531","SI---1P2A533 FS,SI---1P2A526 FS","SI---1P2A533,SI---1P2A526",39,39,39,39,9,9,9,9,11,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-29,SI---1P2A531,"(M2) LOT6-GR.1(LAB,LBx,PAB10,PAB20)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,22/04/2021,22/04/2021,22/04/2021,22/04/2021,"SI---1P2A513 FS","SI---1P2A513","SI---1P2A536 FS,SI---1P2A532 FS,SI---1P2A526 FS","SI---1P2A536,SI---1P2A532,SI---1P2A526",37,37,37,37,8,8,8,8,9,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-30,SI---1P2A530,"(M2) LOT5-GR.5(ZTB,ZTM-MAV,ZTM-MAW,ZTE/ZTP)(FInal Data for Piping design needed)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,10/06/2021,10/06/2021,10/06/2021,10/06/2021,"SI---1P2A520 FS,SI--G--2-35 FS,SI20TPF2A2-5 FS,SI20TPF1C2-5 FS,SI20TPF1B2-5 FS,SI20TPF1A2-5 FS,SI20TPC9A2-5 FS,SI20TPC8A2-5 FS,SI20TPC7A2-5 FS,SI20TPC6A2-5 FS,SI20TPC5A2-5 FS,SI20TPC4A2-5 FS,SI20TPC3A2-5 FS,SI20TPC2A2-5 FS,SI20TPC1A2-5 FS,SI20TPC10A2-5 FS","SI---1P2A520,SI--G--2-35,SI20TPF2A2-5,SI20TPF1C2-5,SI20TPF1B2-5,SI20TPF1A2-5,SI20TPC9A2-5,SI20TPC8A2-5,SI20TPC7A2-5,SI20TPC6A2-5,SI20TPC5A2-5,SI20TPC4A2-5,SI20TPC3A2-5,SI20TPC2A2-5,SI20TPC1A2-5,SI20TPC10A2-5","SI---1P2A521 FS,SI---1P2A521 FF,SI-P222-169 FS,SI-P222-170 FS","SI---1P2A521,SI---1P2A521,SI-P222-169,SI-P222-170",44,44,44,44,10,10,10,10,16,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-31,SI---1P2A529,"(M2) LOT4-Gr.3(MAJ,MAN,MAV,LCW,MAX,LCE,GHC,HSJ)(Final P&ID's)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,20/05/2021,20/05/2021,20/05/2021,20/05/2021,"SI---1P2A528 FS,SI--L--2-35 FS,SI--P--2-35 FS","SI---1P2A528,SI--L--2-35,SI--P--2-35","SI---1P2A520 FS,SI---1P2A512 FS","SI---1P2A520,SI---1P2A512",41,41,41,41,9,9,9,9,13,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-32,SI---1P2A528,"(M2) LOT4-Gr.2(EKT,EKG,LCA10,LCA30,LCL,LDK10,MAG,MAG50,MAW,MAM,MAL)(Final P&ID's)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,100,TK_Complete,31/05/2021,31/05/2021,31/05/2021,31/05/2021,"SI---1P2A513 FS,SI--L--2-35 FS,SI--P--2-35 FS","SI---1P2A513,SI--L--2-35,SI--P--2-35","SI---1P2A529 FS,SI---1P2A512 FF","SI---1P2A529,SI---1P2A512",43,43,43,43,10,10,10,10,15,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-33,SI--HA-2-94&,"FULL ENGINEERING RELEASE HRSG FOR BUILDING BLOCK ENGINEERING (no Hardware Order before NTP)",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,100,TK_Complete,13/11/2020,13/11/2020,13/11/2020,13/11/2020,"SI-----1-01 FS","SI-----1-01","SI--HA-2-94 FS","SI--HA-2-94",14,14,14,14,3,3,3,3,0,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-34,SI--C--2E87,"2. Order PLACED of BOP I&C CABLES (CONTRACT INTO FORCE) (LOT2)",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,25/12/2021,,25/12/2021,,"SI--C--2E85 SS","SI--C--2E85","SI--C--3E84 SS","SI--C--3E84",73,,73,,17,,17,,43,1776,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-35,SI--CP-4-30,"TRANSPORT BOP I&C CABLES (LOT2)",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,11/12/2022,,04/02/2023,,"SI--C--3E85 FS","SI--C--3E85","SI20BZK4-42 FS","SI20BZK4-42",123,,131,,28,,30,,86,32,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-36,SI--C--4-14,"LOGISTICS AND CUSTOMS PREPARATION BOP I&C CABLES (LOT2)",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,09/04/2022,,06/05/2022,,"SI--C--3-74 FS","SI--C--3-74","SI--C--3E85 FS","SI--C--3E85",88,,91,,20,,21,,57,1776,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-37,SI--C--3-74,"TIMES OF COMPLETION (FINAL DATA IN KANLOG) BOP I&C CABLES (LOT2)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,08/04/2022,,08/04/2022,,"SI--C--3E84 FS","SI--C--3E84","SI--C--4-14 FS","SI--C--4-14",87,,87,,20,,20,,56,1776,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-38,SI--C--3E84,"DETAIL DESIGN / MANUFACTURING/ SHOP TEST FOR BOP I&C CABLES (LOT2)",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,25/12/2021,,08/04/2022,,"SI--C--2E87 SS","SI--C--2E87","SI--C--3-74 FS","SI--C--3-74",73,,87,,17,,20,,43,1776,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-39,SI--C--3E85,"(RFS) READY FOR SHIPMENT BOP I&C CABLES (LOT2)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,06/05/2022,,06/05/2022,,"SI--C--4-14 FS","SI--C--4-14","SI--CP-4-30 FS","SI--CP-4-30",91,,91,,21,,21,,63,1776,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-40,SI20BZK4-42,"(OTD-OS) ON SITE I&C CABLES 20/00BZK (LOT2)",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,04/02/2023,,04/02/2023,,"SI--CP-4-30 FS","SI--CP-4-30","SI20CFE7A25 FS,SI20BZK7F25 FS,SI20BZK7B28 FF","SI20CFE7A25,SI20BZK7F25,SI20BZK7B28",131,,131,,30,,30,,89,32,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-41,SI--C--2E85,"1. Order PLACED of BOP I&C CABLES (CONTRACT INTO FORCE) (LOT1)",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,16/10/2021,,16/10/2021,,"SI--C--2E84 FS","SI--C--2E84","SI--C--2E87 SS,SI--C--3E28 SS","SI--C--2E87,SI--C--3E28",63,,63,,14,,14,,34,1352,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-42,SI--C--2E84,"Order of BOP I&C CABLES (PREPARATION RFQ/QUOTATION STAGE)",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,67,TK_Active,28/08/2021,28/08/2021,15/10/2021,,"SI--C--3E27 SS,SI--B--2A56 FS,SI--C--2C55 FS","SI--C--3E27,SI--B--2A56,SI--C--2C55","SI--C--2E85 FS","SI--C--2E85",56,56,62,,13,13,14,,27,1352,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-43,SI--C--2B83,"(DF) HANDOVER T3000 DB complete and hand over",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,25/09/2022,,25/09/2022,,"SP--CJP2-39 FS,SI--C--2-44 FS,SI--C--2B80 FS,SI--G--2-88 FS,SI--P--2-80 FS,SI--L--2-79 FS,SI--HA-2-00 FS,SP--CJJ2-38 FS,SI--C--2B35 FS,SP--CJP2-38 FS,SI--C--2-55 FS","SP--CJP2-39,SI--C--2-44,SI--C--2B80,SI--G--2-88,SI--P--2-80,SI--L--2-79,SI--HA-2-00,SP--CJJ2-38,SI--C--2B35,SP--CJP2-38,SI--C--2-55","SI--BRU8-21 FS,SI20BU-8-25 FS,SI20UBA8G26 FS","SI--BRU8-21,SI20BU-8-25,SI20UBA8G26",112,,112,,26,,26,,82,1144,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-44,SI--C--2C71,"(DF) T3000 Software ready",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,01/08/2022,,01/08/2022,,"SI--C--2B82 FS,SI--C--2D56 FS,SI--C--2B35 FS,SI--C--2-41 FS,SI--C--2-40 FS","SI--C--2B82,SI--C--2D56,SI--C--2B35,SI--C--2-41,SI--C--2-40","SI--C--2B80 FS","SI--C--2B80",104,,104,,24,,24,,76,1144,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-45,SI--C--2B82,"SW ENGINEERING BOP I&C, T3000 DB MERGING non Fail Safe",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,26/12/2021,,21/05/2022,,"SI--C--2B35 FS,SI--C--2-55 FS","SI--C--2B35,SI--C--2-55","SI--C--2C71 FS,SI--C--2B80 FS,SI--C--2D56 FF","SI--C--2C71,SI--C--2B80,SI--C--2D56",73,,94,,17,,21,,43,1712,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-46,SI--C--2B81,"Filling Meas/Consumer list IC tasks",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,26/03/2021,26/03/2021,15/07/2021,15/07/2021,"SI--C--2-77 FS","SI--C--2-77","SI--C--2C50 SS","SI--C--2C50",33,33,49,49,7,7,11,11,6,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-47,SI--LOG4-10,"START FIRST SHIPMENTS BY LOGISTICS CONTRACTOR",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,100,TK_Complete,14/07/2021,14/07/2021,14/07/2021,14/07/2021,"SI--LOG2-80 FS","SI--LOG2-80","SI20UMC2B-45 FS","SI20UMC2B-45",49,49,49,49,11,11,11,11,21,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-48,SI--LOG2-40,"REVIEW OF QUOTATIONS & PREPARATION OF BID COMPARISON SHEET LOGISTICS CONTRACT",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,16/04/2021,16/04/2021,06/05/2021,06/05/2021,"SI--LOG2-30 FS,SI--3331-36 FS","SI--LOG2-30,SI--3331-36","SI--LOG2-50 FS","SI--LOG2-50",36,36,39,39,8,8,9,9,8,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
