ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1-2259,SI20MAG8-25,"COLD COMMISSIONING CONDENSING/ ST DRAIN SYSTEM MAG/MAL",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,26/04/2023,,28/04/2023,,"SI20CPB8-25 FS,SI20BFG8-50 FS,SI-PM-40 FS,SI20B--8-50 FS,SI20MA-8-25 SS","SI20CPB8-25,SI20BFG8-50,SI-PM-40,SI20B--8-50,SI20MA-8-25","SI20LCA8M25 FS","SI20LCA8M25",142,,142,,33,,33,,96,48,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2260,SI20MA-6-14&,"START CHEMICAL CLEANING",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,13/05/2023,,13/05/2023,,"","","SI20--P6-75 SS","SI20--P6-75",145,,145,,33,,33,,97,0,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2261,SI--BFT2-75,"RFQ LV-TRANSFORMERS LV-TRANSFORMERS BFT",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,100,TK_Complete,30/07/2021,30/07/2021,30/07/2021,30/07/2021,"SI--BFT2-15 FS","SI--BFT2-15","SI--BFT2-80 FS","SI--BFT2-80",51,51,51,51,12,12,12,12,23,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2262,SI20LBA6H15,"ERECTION, NDT PIPE / VALVES 10LBA10 (BOP)",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,24/08/2022,,16/12/2022,,"SI20MAN6E40 FF,SI---1P6A05 FS,SI20MA-6A35 FS","SI20MAN6E40,SI---1P6A05,SI20MA-6A35","SI20--P6-73 FS,SI20QC-6H17 FF,SI20LAC8B25 FS,SI20QU-6H15 FF,SI20LBA6H70 FS,SI20--P6-77 FS,SI20LBA6J15 SS,SI20-6-16# FF,SI20-6-16# SS","SI20--P6-73,SI20QC-6H17,SI20LAC8B25,SI20QU-6H15,SI20LBA6H70,SI20--P6-77,SI20LBA6J15,SI20-6-16#,SI20-6-16#",107,,123,,25,,28,,78,584,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2263,SI--3335-62,"SSM OFFICE ERECTION",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,01/05/2021,01/05/2021,08/06/2021,08/06/2021,"SI-----1-05 SS,SI--5552-85 FS","SI-----1-05,SI--5552-85","SI--3335-65 FF","SI--3335-65",39,39,44,44,9,9,10,10,10,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2264,SI--3335-65,"CONSTRUCTION OF SIEMENS SITE CONTRACTOR OFFICE AREA",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,100,TK_Complete,01/07/2021,01/07/2021,27/10/2021,28/09/2021,"SI--3335-62 FF,SI--5555-15 FF,SI-----5-20 SS,SI--3332-60 FS","SI--3335-62,SI--5555-15,SI-----5-20,SI--3332-60","SI20MB-6-00 SS,SI20MA-6B00 SS,SI20MBR6-15 SS,SI20MA-6-03 SS,SI20MAW6-16 SS,SI20MAV6-15 SS,SI--2226-66 SS","SI20MB-6-00,SI20MA-6B00,SI20MBR6-15,SI20MA-6-03,SI20MAW6-16,SI20MAV6-15,SI--2226-66",47,47,64,60,11,11,15,14,19,,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2265,SI20CR-8-10,"(TOP-00CR) CONTROL ROOM EQUIPMENT",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,20/02/2023,,20/02/2023,,"SI--9998-20& SS,SI20UCA7-15 FS,SI--PEI7-20 FS,SI20UEY5-45 FS,SI--B--2-68 FS,SI20UBA7-104 FS,SI20BZK4-41 FS,SI20BZK7-25 FS,SI20UBA7-17 SS,SI--B--7-55 FS,SI--B--2-93 FS","SI--9998-20&,SI20UCA7-15,SI--PEI7-20,SI20UEY5-45,SI--B--2-68,SI20UBA7-104,SI20BZK4-41,SI20BZK7-25,SI20UBA7-17,SI--B--7-55,SI--B--2-93","SI20CPD8-11 SS,SI20CR-8-25 FS","SI20CPD8-11,SI20CR-8-25",133,,133,,31,,31,,91,16,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2266,SI20HA-6-70&,"HRSG20 - READY FOR HOT GAS",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,22/06/2023,,22/06/2023,,"SI20HA-8-65 FS","SI20HA-8-65","SI20MB-9-15 FS","SI20MB-9-15",150,,150,,35,,35,,99,64,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2267,SI20UBA2H02,"E-AND I&C- MANUALS FOR COMP.INSTALL.AVAILABLE ELECTRICAL MODULES 20UBA7310/30",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,21/10/2021,,21/10/2021,,"SI--UBA2G85 FS","SI--UBA2G85","SI20UBA3H55 FS","SI20UBA3H55",63,,63,,14,,14,,35,592,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2268,SI20UBA3H55,"INSTALL. COMP., INT. CABLING, FIRE PROT., SHOP TEST ELECTRICAL MODULES 20UBA7310/30",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,19/11/2021,,27/01/2022,,"SI20UBA4-51 FS,SI20UBA2H02 FS,SP--B--2-13 FS,SI20UBA4G57 FS","SI20UBA4-51,SI20UBA2H02,SP--B--2-13,SI20UBA4G57","SI20UBA3B78 FS,SI20UBA3H20# FF,SI20UBA4G60 FS,SI-P222-167 SS,SI--C--2-55 FS","SI20UBA3B78,SI20UBA3H20#,SI20UBA4G60,SI-P222-167,SI--C--2-55",67,,77,,15,,18,,39,584,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
