Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4,822-MT-MS-OS-1010,"Dismantle OHVD slab shutter",TT_Task,,"OHVD Slab",03-Oct-2014,25-Oct-2014,22,16-Aug-2014,28-Aug-2014,12,-48,-10,-45.45,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,3
822_AB_W11v4,822-MT-MS-L-1000,"Tram shutter from Type P to bay M94",TT_Task,,"Lining",24-Sep-2014,24-Sep-2014,0,13-May-2014,13-May-2014,,-134,,,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-MT-MS-L-1010,"Lining to bay M94 chg 130944-130954",TT_Task,,"Lining",30-Sep-2014,03-Oct-2014,3,19-May-2014,20-May-2014,1,-134,-2,-66.67,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,2
822_AB_W11v4,822-MT-MS-L-1020,"Lining to bay M92 chg 130964-130974",TT_Task,,"Lining",25-Sep-2014,26-Sep-2014,1,13-May-2014,14-May-2014,1,-135,0,0.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-MT-MS-L-1030,"Lining to bay M93 chg 130954-130964",TT_Task,,"Lining",27-Sep-2014,29-Sep-2014,2,16-May-2014,17-May-2014,1,-134,-1,-50.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-MT-MS-L-1040,"Dismantle M(S) lining shutter",TT_Task,,"Lining",03-Oct-2014,23-Oct-2014,20,08-Sep-2014,20-Sep-2014,12,-25,-8,-40.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,1
822_AB_W11v4,822-MT-MS-R-1000,"Remedial works in M(S) Profile",TT_Task,,"Remedial works",01-Sep-2014,20-Oct-2014,49,15-Jul-2014,05-Dec-2014,143,-48,94,191.84,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,6,2
822_AB_W11v4,822-MT-MS-I-1000,"Invert & drainage chg 131170-131045",TT_Task,,"Invert and Drainage",01-Sep-2014,23-Sep-2014,22,18-Apr-2014,21-May-2014,33,-136,11,50.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-MT-MS-I-1010,"Invert & drainage chg 131045-131011",TT_Task,,"Invert and Drainage",03-Nov-2014,08-Nov-2014,5,05-Jul-2014,12-Jul-2014,7,-121,2,40.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,2
822_AB_W11v4,822-MT-MS-I-1020,"Invert & drainage chg 131011-130946",TT_Task,,"Invert and Drainage",26-Nov-2014,02-Dec-2014,6,09-Jul-2014,05-Aug-2014,27,-140,21,350.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,1
822_AB_W11v4,822-MT-MS-CW-1000,"Centre wall chg 131345-131106",TT_Task,,"Lower Centre Wall",01-Sep-2014,23-Sep-2014,22,28-Apr-2014,21-May-2014,23,-126,1,4.55,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,1
822_AB_W11v4,822-MT-MS-CW-1010,"Centre wall chg 131106-131035",TT_Task,,"Lower Centre Wall",10-Nov-2014,17-Nov-2014,7,27-May-2014,23-Sep-2014,119,-167,112,1600.00,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,2
822_AB_W11v4,822-MT-MS-CW-1020,"Centre wall chg 131035-130946",TT_Task,,"Lower Centre Wall",08-Oct-2014,17-Oct-2014,9,05-Sep-2014,16-Sep-2014,11,-33,2,22.22,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,2,5
822_AB_W11v4,822-MT-MS-CW-1030,"Dismantle M(S) centre wall shutter",TT_Task,,"Lower Centre Wall",18-Oct-2014,31-Oct-2014,13,24-Sep-2014,30-Sep-2014,6,-24,-7,-53.85,01-Jan-2017,01-Jan-2017,07-Feb-2015,07-Feb-2015,1,3
822_AB_W11v4,822-MT-CS-C-1020,"Close centre wall opening (bay 61)",TT_Task,,"Lower Centre Wall",18-Oct-2014,31-Oct-2014,13,08-Sep-2014,13-Sep-2014,5,-40,-8,-61.54,01-Jan-2017,01-Jan-2017,10-Feb-2015,10-Feb-2015,1,1
