Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
821_RMP_B_R3_May15MP,821012200,"RDO/GEO Consultation and MTRC review",TT_Task,,"Adit Junction to Twin Track Tunnel - Temporary Support (including By-pass)",06-Apr-2011,07-May-2011,31,06-Apr-2011,30-Apr-2011,24,0,-7,-22.58,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012220,"Resubmit Design report",TT_Task,,"Adit Junction to Twin Track Tunnel - Temporary Support (including By-pass)",30-Apr-2011,23-May-2011,23,30-Apr-2011,04-Oct-2011,157,0,134,582.61,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012230,"RDO/GEO Consultation and MTRC Approve",TT_Task,,"Adit Junction to Twin Track Tunnel - Temporary Support (including By-pass)",20-May-2011,17-Jun-2011,28,04-Oct-2011,20-Dec-2011,77,137,49,175.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012904,"RDO/GEO Consultation and MTRC Approve",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",24-Apr-2013,21-May-2013,27,24-Apr-2013,02-Aug-2013,100,0,73,270.37,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821015390,"Issue drawings for construction",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",03-Aug-2013,09-Aug-2013,6,03-Aug-2013,03-Dec-2013,122,0,116,1933.33,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012860,"Submit AIP for approval",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",12-Oct-2010,25-Nov-2010,44,12-Oct-2010,09-Nov-2010,28,0,-16,-36.36,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821012880,"Approve AIP",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",09-Nov-2010,06-Dec-2010,27,09-Nov-2010,14-Jun-2011,217,0,190,703.70,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012890,"Prepare & Submit DDA",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",01-Jun-2011,28-Jul-2011,57,01-Jun-2011,10-Apr-2012,314,0,257,450.88,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821012900,"RDO/GEO Consultation and MTRC review",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",30-Jun-2011,27-Jul-2011,27,30-Jun-2011,07-Nov-2012,496,0,469,1737.04,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012902,"Resubmit DDA",TT_Task,,"Adit Junction to Twin Track Tunnel - Permanent Support",08-Nov-2012,28-Nov-2012,20,08-Nov-2012,23-Apr-2013,166,0,146,730.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013090,"Prepare & Submit Hoarding Plan",TT_Task,,"Hoarding Plan",19-Jul-2010,13-Aug-2010,25,19-Jul-2010,12-Aug-2010,24,0,-1,-4.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013100,"Approve Hoarding Plan",TT_Task,,"Hoarding Plan",12-Aug-2010,08-Sep-2010,27,12-Aug-2010,27-Sep-2010,46,0,19,70.37,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821013790,"MTRC review",TT_Task,,"Formwork - Adit",08-Nov-2011,05-Dec-2011,27,08-Nov-2011,23-Nov-2011,15,0,-12,-44.44,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013800,"Resubmit Design report",TT_Task,,"Formwork - Adit",23-Nov-2011,13-Dec-2011,20,23-Nov-2011,23-Feb-2012,92,0,72,360.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013810,"MTRC Approve",TT_Task,,"Formwork - Adit",23-Feb-2012,21-Mar-2012,27,23-Feb-2012,13-Mar-2012,19,0,-8,-29.63,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821013780,"Submit Design Report to MTRC",TT_Task,,"Formwork - Adit",11-Jan-2011,26-Feb-2011,46,11-Jan-2011,08-Nov-2011,301,0,255,554.35,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
