300: 3901.0588365360995,
 350: 3814.723787475256,
 400: 3736.6113510943346,
 450: 3665.782325646031,
 500: 3598.9121866222526,
 550: 3539.460948794383,
 600: 3480.5607866804257,
 650: 3427.3519384679034,
 700: 3377.31961263201,
 750: 3328.8236879734723,
 800: 3282.595784573988,
 850: 3239.834524093267,
 900: 3198.1933256976267,
 950: 3158.69624669653
